"Contract","Title","Company","PDF URL","Country","Concession/License name","Signature date","Language","Disclosure mode","Host gov contract"
"Indonesia Kutai-Block dd20070117 Participation-Agree","Participation-Agree","Cbm Asia Development Corp, Ephindg Ilthabi Cbm Holding Inc, Far East Methane Llc","http://downloads.openoil.net/contracts/id/id_Kutai-Block_dd20070117_Participation-Agree_CBM-Asia_Ephindg-Ilthabi_Far-East-Methane.pdf","ID","","2007-01-17T00:00:00","English","corporate","no"
"Iraqi Kurdistan Ain-Sifni-Block dd20070908 PSC","PSC","Hunt Oil Company of the Kurdistan Region, Impulse Energy Corporation","http://downloads.openoil.net/contracts/krg/krg_Ain-Sifni-Block_dd20070908_PSC_Hunt_Impulse.pdf","XI","","2007-09-08T00:00:00","English","government","yes"
"Iraqi Kurdistan Ain-Sifni-Block dd20110726 1st-Amend-Agree","1st-Amend-Agree","Hunt Oil Company of the Kurdistan Region, Impulse Energy Corporation","http://downloads.openoil.net/contracts/krg/krg_Ain-Sifni-Block_dd20110726_1st-Amend-Agree_Hunt_Impulse.pdf","XI","","2011-07-26T00:00:00","English","government","yes"
"Iraqi Kurdistan Akri-Bijeel-Block dd20071106 PSC","PSC","Kalegran Ltd","http://downloads.openoil.net/contracts/krg/krg_Akri-Bijeel-Block_dd20071106_PSC_Kalegran.pdf","XI","","2007-11-06T00:00:00","English","government","yes"
"Iraqi Kurdistan Akri-Bijeel-Block dd20100801 Amend-Agree","Amend-Agree","Gulf Petroleum International, Kalegran Ltd","http://downloads.openoil.net/contracts/krg/krg_Akri-Bijeel-Block_dd20100801_Amend-Agree_GKP_Kalegran.pdf","XI","","2010-08-01T00:00:00","English","government","yes"
"Iraqi Kurdistan Arbat dd20090828 PSC","PSC","Shamaran Petroleum B.V.","http://downloads.openoil.net/contracts/krg/krg_Arbat_dd20090828_PSC_Shamaran.pdf","XI","","2009-08-28T00:00:00","English","government","yes"
"Iraqi Kurdistan Arbat dd20100801 1st-Amend-Agree","1st-Amend-Agree","Shamaran Petroleum B.V.","http://downloads.openoil.net/contracts/krg/krg_Arbat_dd20100801_1st-Amend-Agree_Shamaran.pdf","XI","","2010-08-01T00:00:00","English","government","yes"
"Iraqi Kurdistan Atrush-Block dd20071110 PSC","PSC","General Exploration Partners Inc.","http://downloads.openoil.net/contracts/krg/krg_Atrush-Block_dd20071110_PSC_GEP.pdf","XI","","2007-11-10T00:00:00","English","government","yes"
"Iraqi Kurdistan Atrush-Block dd20100801 1st-Amend-Agree","1st-Amend-Agree","General Exploration Partners Inc.","http://downloads.openoil.net/contracts/krg/krg_Atrush-Block_dd20100801_1st-Amend-Agree_GEP.pdf","XI","","2010-08-01T00:00:00","English","government","yes"
"Iraqi Kurdistan Baranan dd20090615 PSC","PSC","Talisman (Block K9) B.V., Colwyn Investments Limited","http://downloads.openoil.net/contracts/krg/krg_Baranan_dd20090615_PSC_Talisman_Colwyn.pdf","XI","","2009-06-15T00:00:00","English","government","yes"
"Iraqi Kurdistan Barda-Rash-Block dd20080620 PSC","PSC","Komet Group S.A.","http://downloads.openoil.net/contracts/krg/krg_Barda-Rash-Block_dd20080620_PSC_Komet.pdf","XI","","2008-06-20T00:00:00","English","government","yes"
"Ireland No-1/13 dd20130828 Pet-Exp-Licence","Pet-Exp-Licence","Kosmos Energy Ireland, Antrim Exploration (Ireland) Ltd","http://downloads.openoil.net/contracts/ie/ie_No-1%3A13_dd20130828_Pet-Exp-Licence_Kosmos_Antrim.pdf","IE","","2013-08-28T00:00:00","English","corporate","yes"
"Ireland No-2/13 dd20130823 Pet-Exp-Licence","Pet-Exp-Licence","Kosmos Energy, Europa Oil and Gas (Holdings) Plc","http://downloads.openoil.net/contracts/ie/ie_No-2%3A13_dd20130823_Pet-Exp-Licence_Kosmos_EuropaOil.pdf","IE","","2013-08-23T00:00:00","English","corporate","yes"
"Ireland No-3/13 dd20130823 Pet-Exp-Licence","Pet-Exp-Licence","Kosmos Energy, Europa Oil and Gas (Holdings) Plc","http://downloads.openoil.net/contracts/ie/ie_No-1%3A13_dd20130823_Pet-Exp-Licence_Kosmos_EuropaOil.pdf","IE","","2013-08-23T00:00:00","English","corporate","yes"
"Israel 347-Myra dd20101006 JOA","JOA","IPC Oil And Gas (Israel) Limited Partnership, Emanuelle Energy Limited, Emanuelle Energy Oil And Gas Limited Partnership, The Israel Land Development Company Limited, IDB Development Corporation Limited, Modiin Energy Limited Partnership, Blue Water Oil And Gas Exploartion Limited, Geoglobal Resources (India) Inc","http://downloads.openoil.net/contracts/il/il_347-Myra_dd20101006_JOA_IPC_ILDC_MODIIN.pdf","IL","","2010-10-06T00:00:00","English","corporate","no"
"Israel 348-Sara dd20101006 JOA","JOA","IPC Oil And Gas (Israel) Limited Partnership, Emanuelle Energy Limited, Emanuelle Energy Oil And Gas Limited Partnership, The Israel Land Development Company Limited, IDB Development Corporation Limited, Modiin Energy Limited Partnership, Blue Water Oil And Gas Exploartion Limited, Geoglobal Resources (India) Inc","http://downloads.openoil.net/contracts/il/il_348-Sara_dd20101006_JOA_IPC_ILDC_MODIIN.pdf","IL","","2010-10-06T00:00:00","English","corporate","no"
"Israel Samuel-388 dd20110200 Operating-Agreement","Operating-Agreement","Geoglobal Resources (India) Inc, Adira Geo Global Ltd, Adira Oil Technologies Ltd, Brownstone Venture Inc, Pinetree Capital Ltd","http://downloads.openoil.net/contracts/il/il_Samuel-388_dd20110200_Operating-Agreement_GGR_Adira-Geo_Brownstone.pdf","IL","","2011-02-01T00:00:00","English","corporate","no"
